game_id,name,company,platforms,price,release_date,total_ratings,rating,header,short_description
10,Counter-Strike,Valve,windows;mac;linux,7.19,2000/11/1,127873,9.739,https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.
20,Team Fortress Classic,Valve,windows;mac;linux,3.99,1999/4/1,3951,8.398,https://steamcdn-a.akamaihd.net/steam/apps/20/header.jpg?t=1528732825,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes."
30,Day of Defeat,Valve,windows;mac;linux,3.99,2003/5/1,3814,8.956,https://steamcdn-a.akamaihd.net/steam/apps/30/header.jpg?t=1512413490,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations."
40,Deathmatch Classic,Valve,windows;mac;linux,3.99,2001/6/1,1540,8.266,https://steamcdn-a.akamaihd.net/steam/apps/40/header.jpg?t=1528733362,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings."
50,Half-Life: Opposing Force,Valve,windows;mac;linux,3.99,1999/11/1,5538,9.48,https://steamcdn-a.akamaihd.net/steam/apps/50/header.jpg?t=1542245736,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences."
60,Ricochet,Valve,windows;mac;linux,3.99,2000/11/1,3442,8.013,https://steamcdn-a.akamaihd.net/steam/apps/60/header.jpg?t=1528733092,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas."
70,Half-Life,Valve,windows;mac;linux,7.19,1998/11/8,28855,9.619,https://steamcdn-a.akamaihd.net/steam/apps/70/header.jpg?t=1530045175,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world."
80,Counter-Strike: Condition Zero,Valve,windows;mac;linux,7.19,2004/3/1,13559,8.939,https://steamcdn-a.akamaihd.net/steam/apps/80/header.jpg?t=1512411962,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content."
130,Half-Life: Blue Shift,Valve,windows;mac;linux,3.99,2001/6/1,4242,9.01,https://steamcdn-a.akamaihd.net/steam/apps/130/header.jpg?t=1542159361,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations."
242760,The Forest,Endnight Games Ltd,windows,15.49,2018/4/30,119341,9.256,https://steamcdn-a.akamaihd.net/steam/apps/242760/header.jpg?t=1527008565,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator."
275850,No Man's Sky,Hello Games,windows,39.99,2016/8/12,119932,5.29,https://steamcdn-a.akamaihd.net/steam/apps/275850/header.jpg?t=1542978561,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.
319630,Life is Strange - Episode 1,Square Enix;Feral interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,2015/1/29,123130,9.635,https://steamcdn-a.akamaihd.net/steam/apps/319630/header.jpg?t=1549968253,"Episode 1 now FREE! Life is Strange is an award-winning and critically acclaimed episodic adventure game that allows the player to rewind time and affect the past, present and future."
322330,Don't Starve Together,Klei Entertainment,windows;mac;linux,10.99,2016/4/21,112807,9.627,https://steamcdn-a.akamaihd.net/steam/apps/322330/header.jpg?t=1554148952,Don't Starve Together is the standalone multiplayer expansion of the uncompromising survival game Don't Starve.
413150,Stardew Valley,ConcernedApe,windows;mac;linux,10.99,2016/2/26,121978,9.692,https://steamcdn-a.akamaihd.net/steam/apps/413150/header.jpg?t=1551466649,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?"
543980,Zombie Exodus: Safe Haven,Hosted Games,windows;mac;linux,3.99,2016/10/28,91,8.901,https://steamcdn-a.akamaihd.net/steam/apps/543980/header.jpg?t=1538627422,"Zombies rise again at the dawn of Apocalypse! In this companion to the smash-hit Zombie Exodus, can you survive the early days of society's collapse?"
